"{1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 720, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 5040, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3628800, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39916800, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 479001600, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6227020800, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87178291200}"
"{0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 6, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 24, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 120, 0, 720, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 720, 0, 5040, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 5040, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 40320, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 362880, 0, 3628800, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 3628800, 0, 39916800, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39916800, 0, 479001600, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 479001600, 0, 6227020800, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6227020800, 0, 87178291200}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87178291200, 0}"
"{0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{2, 0, 8, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 6, 0, 36, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 24, 0, 192, 0, 720, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 120, 0, 1200, 0, 5040, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 720, 0, 8640, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 5040, 0, 70560, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 40320, 0, 645120, 0, 3628800, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 362880, 0, 6531840, 0, 39916800, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 3628800, 0, 72576000, 0, 479001600, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 39916800, 0, 878169600, 0, 6227020800, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 479001600, 0, 11496038400, 0, 87178291200}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6227020800, 0, 161902540800, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87178291200, 0, 2440992153600}"
"{0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 6, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 6, 0, 36, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{6, 0, 36, 0, 216, 0, 720, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 24, 0, 216, 0, 1440, 0, 5040, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 120, 0, 1440, 0, 10800, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 720, 0, 10800, 0, 90720, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 5040, 0, 90720, 0, 846720, 0, 3628800, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 40320, 0, 846720, 0, 8709120, 0, 39916800, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 362880, 0, 8709120, 0, 97977600, 0, 479001600, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 3628800, 0, 97977600, 0, 1197504000, 0, 6227020800, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 39916800, 0, 1197504000, 0, 15807052800, 0, 87178291200}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 479001600, 0, 15807052800, 0, 224172748800, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6227020800, 0, 224172748800, 0, 3399953356800}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87178291200, 0, 3399953356800, 0}"
"{0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 24, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 24, 0, 192, 0, 720, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 24, 0, 216, 0, 1440, 0, 5040, 0, 0, 0, 0, 0, 0, 0}","{24, 0, 192, 0, 1728, 0, 11520, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 120, 0, 1440, 0, 14400, 0, 100800, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 720, 0, 11520, 0, 129600, 0, 967680, 0, 3628800, 0, 0, 0, 0}","{0, 0, 0, 5040, 0, 100800, 0, 1270080, 0, 10160640, 0, 39916800, 0, 0, 0}","{0, 0, 0, 0, 40320, 0, 967680, 0, 13547520, 0, 116121600, 0, 479001600, 0, 0}","{0, 0, 0, 0, 0, 362880, 0, 10160640, 0, 156764160, 0, 1437004800, 0, 6227020800, 0}","{0, 0, 0, 0, 0, 0, 3628800, 0, 116121600, 0, 1959552000, 0, 19160064000, 0, 87178291200}","{0, 0, 0, 0, 0, 0, 0, 39916800, 0, 1437004800, 0, 26345088000, 0, 273988915200, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 479001600, 0, 19160064000, 0, 379369267200, 0, 4184557977600}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 6227020800, 0, 273988915200, 0, 5828491468800, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87178291200, 0, 4184557977600, 0, 95198693990400}"
"{0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 120, 0, 720, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 120, 0, 1200, 0, 5040, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 120, 0, 1440, 0, 10800, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 120, 0, 1440, 0, 14400, 0, 100800, 0, 362880, 0, 0, 0, 0, 0}","{120, 0, 1200, 0, 14400, 0, 144000, 0, 1008000, 0, 3628800, 0, 0, 0, 0}","{0, 720, 0, 10800, 0, 144000, 0, 1512000, 0, 10886400, 0, 39916800, 0, 0, 0}","{0, 0, 5040, 0, 100800, 0, 1512000, 0, 16934400, 0, 127008000, 0, 479001600, 0, 0}","{0, 0, 0, 40320, 0, 1008000, 0, 16934400, 0, 203212800, 0, 1596672000, 0, 6227020800, 0}","{0, 0, 0, 0, 362880, 0, 10886400, 0, 203212800, 0, 2612736000, 0, 21555072000, 0, 87178291200}","{0, 0, 0, 0, 0, 3628800, 0, 127008000, 0, 2612736000, 0, 35925120000, 0, 311351040000, 0}","{0, 0, 0, 0, 0, 0, 39916800, 0, 1596672000, 0, 35925120000, 0, 526901760000, 0, 4794806016000}","{0, 0, 0, 0, 0, 0, 0, 479001600, 0, 21555072000, 0, 526901760000, 0, 8219667456000, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 6227020800, 0, 311351040000, 0, 8219667456000, 0, 135998134272000}","{0, 0, 0, 0, 0, 0, 0, 0, 0, 87178291200, 0, 4794806016000, 0, 135998134272000, 0}"
"{0, 0, 0, 0, 0, 0, 720, 0, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 720, 0, 5040, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 720, 0, 8640, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 720, 0, 10800, 0, 90720, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 720, 0, 11520, 0, 129600, 0, 967680, 0, 3628800, 0, 0, 0, 0}","{0, 720, 0, 10800, 0, 144000, 0, 1512000, 0, 10886400, 0, 39916800, 0, 0, 0}","{720, 0, 8640, 0, 129600, 0, 1728000, 0, 18144000, 0, 130636800, 0, 479001600, 0, 0}","{0, 5040, 0, 90720, 0, 1512000, 0, 21168000, 0, 228614400, 0, 1676505600, 0, 6227020800, 0}","{0, 0, 40320, 0, 967680, 0, 18144000, 0, 270950400, 0, 3048192000, 0, 22992076800, 0, 87178291200}","{0, 0, 0, 362880, 0, 10886400, 0, 228614400, 0, 3657830400, 0, 43110144000, 0, 336259123200, 0}","{0, 0, 0, 0, 3628800, 0, 130636800, 0, 3048192000, 0, 52254720000, 0, 646652160000, 0, 5230697472000}","{0, 0, 0, 0, 0, 39916800, 0, 1676505600, 0, 43110144000, 0, 790352640000, 0, 10274584320000, 0}","{0, 0, 0, 0, 0, 0, 479001600, 0, 22992076800, 0, 646652160000, 0, 12645642240000, 0, 172613016576000}","{0, 0, 0, 0, 0, 0, 0, 6227020800, 0, 336259123200, 0, 10274584320000, 0, 213711353856000, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 87178291200, 0, 5230697472000, 0, 172613016576000, 0, 3807947759616000}"
"{0, 0, 0, 0, 0, 0, 0, 5040, 0, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 5040, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 5040, 0, 70560, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 5040, 0, 90720, 0, 846720, 0, 3628800, 0, 0, 0, 0}","{0, 0, 0, 5040, 0, 100800, 0, 1270080, 0, 10160640, 0, 39916800, 0, 0, 0}","{0, 0, 5040, 0, 100800, 0, 1512000, 0, 16934400, 0, 127008000, 0, 479001600, 0, 0}","{0, 5040, 0, 90720, 0, 1512000, 0, 21168000, 0, 228614400, 0, 1676505600, 0, 6227020800, 0}","{5040, 0, 70560, 0, 1270080, 0, 21168000, 0, 296352000, 0, 3200601600, 0, 23471078400, 0, 87178291200}","{0, 40320, 0, 846720, 0, 16934400, 0, 296352000, 0, 4267468800, 0, 46942156800, 0, 348713164800, 0}","{0, 0, 362880, 0, 10160640, 0, 228614400, 0, 4267468800, 0, 64012032000, 0, 724250419200, 0, 5492232345600}","{0, 0, 0, 3628800, 0, 127008000, 0, 3200601600, 0, 64012032000, 0, 1005903360000, 0, 11769069312000, 0}","{0, 0, 0, 0, 39916800, 0, 1676505600, 0, 46942156800, 0, 1005903360000, 0, 16597405440000, 0, 201381852672000}","{0, 0, 0, 0, 0, 479001600, 0, 23471078400, 0, 724250419200, 0, 16597405440000, 0, 287688360960000, 0}","{0, 0, 0, 0, 0, 0, 6227020800, 0, 348713164800, 0, 11769069312000, 0, 287688360960000, 0, 5235928169472000}","{0, 0, 0, 0, 0, 0, 0, 87178291200, 0, 5492232345600, 0, 201381852672000, 0, 5235928169472000, 0}"
"{0, 0, 0, 0, 0, 0, 0, 0, 40320, 0, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 40320, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 40320, 0, 645120, 0, 3628800, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 40320, 0, 846720, 0, 8709120, 0, 39916800, 0, 0, 0}","{0, 0, 0, 0, 40320, 0, 967680, 0, 13547520, 0, 116121600, 0, 479001600, 0, 0}","{0, 0, 0, 40320, 0, 1008000, 0, 16934400, 0, 203212800, 0, 1596672000, 0, 6227020800, 0}","{0, 0, 40320, 0, 967680, 0, 18144000, 0, 270950400, 0, 3048192000, 0, 22992076800, 0, 87178291200}","{0, 40320, 0, 846720, 0, 16934400, 0, 296352000, 0, 4267468800, 0, 46942156800, 0, 348713164800, 0}","{40320, 0, 645120, 0, 13547520, 0, 270950400, 0, 4741632000, 0, 68279500800, 0, 751074508800, 0, 5579410636800}","{0, 362880, 0, 8709120, 0, 203212800, 0, 4267468800, 0, 76814438400, 0, 1126611763200, 0, 12553673932800, 0}","{0, 0, 3628800, 0, 116121600, 0, 3048192000, 0, 68279500800, 0, 1280240640000, 0, 19313344512000, 0, 219689293824000}","{0, 0, 0, 39916800, 0, 1596672000, 0, 46942156800, 0, 1126611763200, 0, 22129873920000, 0, 345226033152000, 0}","{0, 0, 0, 0, 479001600, 0, 22992076800, 0, 751074508800, 0, 19313344512000, 0, 398337730560000, 0, 6444219285504000}","{0, 0, 0, 0, 0, 6227020800, 0, 348713164800, 0, 12553673932800, 0, 345226033152000, 0, 7479897384960000, 0}","{0, 0, 0, 0, 0, 0, 87178291200, 0, 5579410636800, 0, 219689293824000, 0, 6444219285504000, 0, 146605988745216000}"
"{0, 0, 0, 0, 0, 0, 0, 0, 0, 362880, 0, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 0, 362880, 0, 3628800, 0, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 0, 362880, 0, 6531840, 0, 39916800, 0, 0, 0}","{0, 0, 0, 0, 0, 0, 362880, 0, 8709120, 0, 97977600, 0, 479001600, 0, 0}","{0, 0, 0, 0, 0, 362880, 0, 10160640, 0, 156764160, 0, 1437004800, 0, 6227020800, 0}","{0, 0, 0, 0, 362880, 0, 10886400, 0, 203212800, 0, 2612736000, 0, 21555072000, 0, 87178291200}","{0, 0, 0, 362880, 0, 10886400, 0, 228614400, 0, 3657830400, 0, 43110144000, 0, 336259123200, 0}","{0, 0, 362880, 0, 10160640, 0, 228614400, 0, 4267468800, 0, 64012032000, 0, 724250419200, 0, 5492232345600}","{0, 362880, 0, 8709120, 0, 203212800, 0, 4267468800, 0, 76814438400, 0, 1126611763200, 0, 12553673932800, 0}","{362880, 0, 6531840, 0, 156764160, 0, 3657830400, 0, 76814438400, 0, 1382659891200, 0, 20279011737600, 0, 225966130790400}","{0, 3628800, 0, 97977600, 0, 2612736000, 0, 64012032000, 0, 1382659891200, 0, 25348764672000, 0, 376610217984000, 0}","{0, 0, 39916800, 0, 1437004800, 0, 43110144000, 0, 1126611763200, 0, 25348764672000, 0, 478005276672000, 0, 7249746696192000}","{0, 0, 0, 479001600, 0, 21555072000, 0, 724250419200, 0, 20279011737600, 0, 478005276672000, 0, 9321102895104000, 0}","{0, 0, 0, 0, 6227020800, 0, 336259123200, 0, 12553673932800, 0, 376610217984000, 0, 9321102895104000, 0, 188493414100992000}","{0, 0, 0, 0, 0, 87178291200, 0, 5492232345600, 0, 225966130790400, 0, 7249746696192000, 0, 188493414100992000, 0}"
