{2, 0, 0}	{0, 2/3, 0}	{0, 0, 2/5}
{0, 2/3, 0}	{2/3, 0, 4/15}	{0, 4/15, 0}
{0, 0, 2/5}	{0, 4/15, 0}	{2/5, 0, 4/35}
