{2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 2/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 2/5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 2/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 2/9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 2/11, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 2/13, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 2/15, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 2/17, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 2/19, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2/21, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2/23, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2/25, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2/27, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2/29}
{0, 2/3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{2/3, 0, 4/15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 4/15, 0, 6/35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 6/35, 0, 8/63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 8/63, 0, 10/99, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 10/99, 0, 12/143, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 12/143, 0, 14/195, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 14/195, 0, 16/255, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 16/255, 0, 18/323, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 18/323, 0, 20/399, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 20/399, 0, 22/483, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22/483, 0, 24/575, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24/575, 0, 26/675, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26/675, 0, 28/783}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28/783, 0}
{0, 0, 2/5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 4/15, 0, 6/35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{2/5, 0, 4/35, 0, 4/35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 6/35, 0, 8/105, 0, 20/231, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 4/35, 0, 40/693, 0, 10/143, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 20/231, 0, 20/429, 0, 42/715, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 10/143, 0, 28/715, 0, 56/1105, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 42/715, 0, 112/3315, 0, 72/1615, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 56/1105, 0, 48/1615, 0, 90/2261, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 72/1615, 0, 60/2261, 0, 110/3059, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 90/2261, 0, 220/9177, 0, 132/4025, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 110/3059, 0, 88/4025, 0, 52/1725, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132/4025, 0, 104/5175, 0, 182/6525}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52/1725, 0, 364/19575, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182/6525, 0, 140/8091}
{0, 0, 0, 2/7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 6/35, 0, 8/63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 6/35, 0, 8/105, 0, 20/231, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{2/7, 0, 8/105, 0, 4/77, 0, 200/3003, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 8/63, 0, 4/77, 0, 40/1001, 0, 70/1287, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 20/231, 0, 40/1001, 0, 14/429, 0, 112/2431, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 200/3003, 0, 14/429, 0, 336/12155, 0, 168/4199, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 70/1287, 0, 336/12155, 0, 504/20995, 0, 80/2261, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 112/2431, 0, 504/20995, 0, 48/2261, 0, 1650/52003, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 168/4199, 0, 48/2261, 0, 990/52003, 0, 88/3059, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 80/2261, 0, 990/52003, 0, 264/15295, 0, 572/21735, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 1650/52003, 0, 264/15295, 0, 572/36225, 0, 728/30015}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 88/3059, 0, 572/36225, 0, 728/50025, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 572/21735, 0, 728/50025, 0, 182/13485}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 728/30015, 0, 182/13485, 0}
{0, 0, 0, 0, 2/9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 8/63, 0, 10/99, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 4/35, 0, 40/693, 0, 10/143, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 8/63, 0, 4/77, 0, 40/1001, 0, 70/1287, 0, 0, 0, 0, 0, 0, 0}	{2/9, 0, 40/693, 0, 36/1001, 0, 40/1287, 0, 980/21879, 0, 0, 0, 0, 0, 0}	{0, 10/99, 0, 40/1001, 0, 4/143, 0, 560/21879, 0, 1764/46189, 0, 0, 0, 0, 0}	{0, 0, 10/143, 0, 40/1287, 0, 56/2431, 0, 1008/46189, 0, 140/4199, 0, 0, 0, 0}	{0, 0, 0, 70/1287, 0, 560/21879, 0, 4536/230945, 0, 80/4199, 0, 220/7429, 0, 0, 0}	{0, 0, 0, 0, 980/21879, 0, 1008/46189, 0, 72/4199, 0, 880/52003, 0, 198/7429, 0, 0}	{0, 0, 0, 0, 0, 1764/46189, 0, 80/4199, 0, 792/52003, 0, 792/52003, 0, 286/11799, 0}	{0, 0, 0, 0, 0, 0, 140/4199, 0, 880/52003, 0, 3564/260015, 0, 1144/82593, 0, 2002/90045}	{0, 0, 0, 0, 0, 0, 0, 220/7429, 0, 792/52003, 0, 572/45885, 0, 1144/90045, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 198/7429, 0, 1144/82593, 0, 572/50025, 0, 728/62031}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 286/11799, 0, 1144/90045, 0, 1092/103385, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2002/90045, 0, 728/62031, 0, 1456/148335}
{0, 0, 0, 0, 0, 2/11, 0, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 10/99, 0, 12/143, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 20/231, 0, 20/429, 0, 42/715, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 20/231, 0, 40/1001, 0, 14/429, 0, 112/2431, 0, 0, 0, 0, 0, 0}	{0, 10/99, 0, 40/1001, 0, 4/143, 0, 560/21879, 0, 1764/46189, 0, 0, 0, 0, 0}	{2/11, 0, 20/429, 0, 4/143, 0, 160/7293, 0, 980/46189, 0, 1512/46189, 0, 0, 0, 0}	{0, 12/143, 0, 14/429, 0, 160/7293, 0, 840/46189, 0, 840/46189, 0, 2772/96577, 0, 0, 0}	{0, 0, 42/715, 0, 560/21879, 0, 840/46189, 0, 720/46189, 0, 1540/96577, 0, 4752/185725, 0, 0}	{0, 0, 0, 112/2431, 0, 980/46189, 0, 720/46189, 0, 1320/96577, 0, 528/37145, 0, 858/37145, 0}	{0, 0, 0, 0, 1764/46189, 0, 840/46189, 0, 1320/96577, 0, 3168/260015, 0, 286/22287, 0, 4004/190095}	{0, 0, 0, 0, 0, 1512/46189, 0, 1540/96577, 0, 3168/260015, 0, 572/52003, 0, 4004/342171, 0}	{0, 0, 0, 0, 0, 0, 2772/96577, 0, 528/37145, 0, 572/52003, 0, 1144/114057, 0, 2002/186093}	{0, 0, 0, 0, 0, 0, 0, 4752/185725, 0, 286/22287, 0, 1144/114057, 0, 572/62031, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 858/37145, 0, 4004/342171, 0, 572/62031, 0, 5824/682341}	{0, 0, 0, 0, 0, 0, 0, 0, 0, 4004/190095, 0, 2002/186093, 0, 5824/682341, 0}
{0, 0, 0, 0, 0, 0, 2/13, 0, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 12/143, 0, 14/195, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 10/143, 0, 28/715, 0, 56/1105, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 200/3003, 0, 14/429, 0, 336/12155, 0, 168/4199, 0, 0, 0, 0, 0}	{0, 0, 10/143, 0, 40/1287, 0, 56/2431, 0, 1008/46189, 0, 140/4199, 0, 0, 0, 0}	{0, 12/143, 0, 14/429, 0, 160/7293, 0, 840/46189, 0, 840/46189, 0, 2772/96577, 0, 0, 0}	{2/13, 0, 28/715, 0, 56/2431, 0, 800/46189, 0, 700/46189, 0, 1512/96577, 0, 60984/2414425, 0, 0}	{0, 14/195, 0, 336/12155, 0, 840/46189, 0, 2000/138567, 0, 1260/96577, 0, 33264/2414425, 0, 12584/557175, 0}	{0, 0, 56/1105, 0, 1008/46189, 0, 700/46189, 0, 1200/96577, 0, 5544/482885, 0, 2288/185725, 0, 22022/1077205}	{0, 0, 0, 168/4199, 0, 840/46189, 0, 1260/96577, 0, 1056/96577, 0, 1144/111435, 0, 12012/1077205, 0}	{0, 0, 0, 0, 140/4199, 0, 1512/96577, 0, 5544/482885, 0, 4576/468027, 0, 2002/215441, 0, 4004/392863}	{0, 0, 0, 0, 0, 2772/96577, 0, 33264/2414425, 0, 1144/111435, 0, 5720/646323, 0, 10010/1178589, 0}	{0, 0, 0, 0, 0, 0, 60984/2414425, 0, 2288/185725, 0, 2002/215441, 0, 28600/3535767, 0, 1456/186093}	{0, 0, 0, 0, 0, 0, 0, 12584/557175, 0, 12012/1077205, 0, 10010/1178589, 0, 4160/558279, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 22022/1077205, 0, 4004/392863, 0, 1456/186093, 0, 14144/2047023}
{0, 0, 0, 0, 0, 0, 0, 2/15, 0, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 14/195, 0, 16/255, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 42/715, 0, 112/3315, 0, 72/1615, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 70/1287, 0, 336/12155, 0, 504/20995, 0, 80/2261, 0, 0, 0, 0}	{0, 0, 0, 70/1287, 0, 560/21879, 0, 4536/230945, 0, 80/4199, 0, 220/7429, 0, 0, 0}	{0, 0, 42/715, 0, 560/21879, 0, 840/46189, 0, 720/46189, 0, 1540/96577, 0, 4752/185725, 0, 0}	{0, 14/195, 0, 336/12155, 0, 840/46189, 0, 2000/138567, 0, 1260/96577, 0, 33264/2414425, 0, 12584/557175, 0}	{2/15, 0, 112/3315, 0, 4536/230945, 0, 2000/138567, 0, 3500/289731, 0, 27216/2414425, 0, 6776/557175, 0, 327184/16158075}	{0, 16/255, 0, 504/20995, 0, 720/46189, 0, 3500/289731, 0, 1008/96577, 0, 1848/185725, 0, 176176/16158075, 0}	{0, 0, 72/1615, 0, 80/4199, 0, 1260/96577, 0, 1008/96577, 0, 616/66861, 0, 48048/5386025, 0, 66066/6678671}	{0, 0, 0, 80/2261, 0, 1540/96577, 0, 27216/2414425, 0, 616/66861, 0, 16016/1938969, 0, 54054/6678671, 0}	{0, 0, 0, 0, 220/7429, 0, 33264/2414425, 0, 1848/185725, 0, 16016/1938969, 0, 50050/6678671, 0, 2912/392863}	{0, 0, 0, 0, 0, 4752/185725, 0, 6776/557175, 0, 48048/5386025, 0, 50050/6678671, 0, 72800/10607301, 0}	{0, 0, 0, 0, 0, 0, 12584/557175, 0, 176176/16158075, 0, 54054/6678671, 0, 72800/10607301, 0, 3536/558279}	{0, 0, 0, 0, 0, 0, 0, 327184/16158075, 0, 66066/6678671, 0, 2912/392863, 0, 3536/558279, 0}
{0, 0, 0, 0, 0, 0, 0, 0, 2/17, 0, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 16/255, 0, 18/323, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 56/1105, 0, 48/1615, 0, 90/2261, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 112/2431, 0, 504/20995, 0, 48/2261, 0, 1650/52003, 0, 0, 0}	{0, 0, 0, 0, 980/21879, 0, 1008/46189, 0, 72/4199, 0, 880/52003, 0, 198/7429, 0, 0}	{0, 0, 0, 112/2431, 0, 980/46189, 0, 720/46189, 0, 1320/96577, 0, 528/37145, 0, 858/37145, 0}	{0, 0, 56/1105, 0, 1008/46189, 0, 700/46189, 0, 1200/96577, 0, 5544/482885, 0, 2288/185725, 0, 22022/1077205}	{0, 16/255, 0, 504/20995, 0, 720/46189, 0, 3500/289731, 0, 1008/96577, 0, 1848/185725, 0, 176176/16158075, 0}	{2/17, 0, 48/1615, 0, 72/4199, 0, 1200/96577, 0, 980/96577, 0, 336/37145, 0, 47432/5386025, 0, 327184/33393355}	{0, 18/323, 0, 48/2261, 0, 1320/96577, 0, 1008/96577, 0, 196/22287, 0, 8624/1077205, 0, 264264/33393355, 0}	{0, 0, 90/2261, 0, 880/52003, 0, 5544/482885, 0, 336/37145, 0, 15092/1938969, 0, 48048/6678671, 0, 48048/6678671}	{0, 0, 0, 1650/52003, 0, 528/37145, 0, 1848/185725, 0, 8624/1077205, 0, 140140/20036013, 0, 43680/6678671, 0}	{0, 0, 0, 0, 198/7429, 0, 2288/185725, 0, 47432/5386025, 0, 48048/6678671, 0, 127400/20036013, 0, 7072/1178589}	{0, 0, 0, 0, 0, 858/37145, 0, 176176/16158075, 0, 264264/33393355, 0, 43680/6678671, 0, 61880/10607301, 0}	{0, 0, 0, 0, 0, 0, 22022/1077205, 0, 327184/33393355, 0, 48048/6678671, 0, 7072/1178589, 0, 12376/2295147}
{0, 0, 0, 0, 0, 0, 0, 0, 0, 2/19, 0, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 0, 18/323, 0, 20/399, 0, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 0, 72/1615, 0, 60/2261, 0, 110/3059, 0, 0, 0}	{0, 0, 0, 0, 0, 0, 168/4199, 0, 48/2261, 0, 990/52003, 0, 88/3059, 0, 0}	{0, 0, 0, 0, 0, 1764/46189, 0, 80/4199, 0, 792/52003, 0, 792/52003, 0, 286/11799, 0}	{0, 0, 0, 0, 1764/46189, 0, 840/46189, 0, 1320/96577, 0, 3168/260015, 0, 286/22287, 0, 4004/190095}	{0, 0, 0, 168/4199, 0, 840/46189, 0, 1260/96577, 0, 1056/96577, 0, 1144/111435, 0, 12012/1077205, 0}	{0, 0, 72/1615, 0, 80/4199, 0, 1260/96577, 0, 1008/96577, 0, 616/66861, 0, 48048/5386025, 0, 66066/6678671}	{0, 18/323, 0, 48/2261, 0, 1320/96577, 0, 1008/96577, 0, 196/22287, 0, 8624/1077205, 0, 264264/33393355, 0}	{2/19, 0, 60/2261, 0, 792/52003, 0, 1056/96577, 0, 196/22287, 0, 8232/1077205, 0, 47432/6678671, 0, 237952/33393355}	{0, 20/399, 0, 990/52003, 0, 3168/260015, 0, 616/66861, 0, 8232/1077205, 0, 45276/6678671, 0, 128128/20036013, 0}	{0, 0, 110/3059, 0, 792/52003, 0, 1144/111435, 0, 8624/1077205, 0, 45276/6678671, 0, 40768/6678671, 0, 2288/392863}	{0, 0, 0, 88/3059, 0, 286/22287, 0, 48048/5386025, 0, 47432/6678671, 0, 40768/6678671, 0, 2184/392863, 0}	{0, 0, 0, 0, 286/11799, 0, 12012/1077205, 0, 264264/33393355, 0, 128128/20036013, 0, 2184/392863, 0, 74256/14535931}	{0, 0, 0, 0, 0, 4004/190095, 0, 66066/6678671, 0, 237952/33393355, 0, 2288/392863, 0, 74256/14535931, 0}
